log name	QR[raw data]:	QR[count]	QR[total_time]	AR[pixelperM]	AR[count]	AR[total_time]	AR[target_pos]	AR[target_point(xy plane)]	AR[Robot Position]	x_error	y_error	total_error	PointA_time	Snapshot_time	Mission_time	
"moved x 10 cm, change qr code cropping position 5s initial delay t5"	" {"p":6,"x":11.06,"y":-9.80,"z":5.41}"	"  3"	"  13068"	" 717.4373519802488"	" 0"	"  9109"	" 0.054901615572880424, -0.42693281237906777"	" 0.785, -0.33433281237906776"	" 11.05550161557288, -30.55101562313905"	-3.1442778579999997	-0.11129216899999998	3.146419871	00:45.064000	01:14.496000	02:03.392000
"moved x 10 cm, change qr code cropping position 5s initial delay t6"	" {"p":3,"x":11.06,"y":-9.80,"z":5.22}"	"  1"	"  6648"	" 713.4191025284066"	" 1"	"  16125"	" 0.12726217066315124, -0.4132801119703227"	" 0.785, -0.3206801119703227"	" 11.127862170663152, -29.748918862861093"	-1.39373416	-0.11027104299999999	1.398491106	00:40.472000	01:17.816000	02:08.600000
"moved x 10 cm, change qr code cropping position 5s initial delay t4"	" {"p":7,"x":11.27,"y":-9.80,"z":5.45}"	"  1"	"  8855"	" 715.3919876308443"	" 0"	"  5990"	" 0.08798128828931207, -0.4488694274048997"	" 0.785, -0.3562694274048997"	" 11.088581288289312, -31.81544728019677"	-0.20516542799999998	-0.04349056	0.21096304000000005	00:42.056000	01:09.032000	01:59.960000
"changed aruco crop coordinate t2"	" {"p":3,"x":11.06,"y":-9.80,"z":5.23}"	"  2"	"  10416"	" 737.9243359278986"	" 0"	"  4230"	" 0.23496990462540038, -0.4354667996084025"	" 0.785, -0.3428667996084025"	" 11.2355699046254, -31.04649652157411"	12.590320260999999	0.167956776	12.591442834	00:42.352000	01:10.408000	02:03.120000
"changed aruco crop coordinate t3"	" {"p":7,"x":11.28,"y":-9.80,"z":5.46}"	"  1"	"  4733"	" 714.3398941406623"	" 1"	"  11582"	" 0.12528747929402595, -0.4585487502052225"	" 0.785, -0.3659487502052225"	" 11.125887479294025, -32.36375909002003"	-1.500960456	0.0313969	1.5013101659999997	00:37.872000	01:08.896000	01:57.288000
"changed aruco crop coordinate t1"	" {"p":6,"x":11.04,"y":-9.80,"z":5.41}"	"  1"	"  6061"	" 744.1660960887954"	" 0"	"  6389"	" 0.23662802971526023, -0.4053209924232987"	" 0.785, -0.3127209924232987"	" 11.23722802971526, -29.276000831714867"	12.282392815	0.299900247	12.28608056	00:39.288000	01:07.280000	01:57.768000
"test ar count method"	" {"p":1,"x":11.25,"y":-9.80,"z":5.25}"	"  1"	"  6257"	" 714.3991745352868"	" 2"	"  14231"	" 0.09899306762483569, -0.4320606565628934"	" 0.785, -0.33946065656289337"	" 11.099593067624836, -30.849282100625114"	-0.3457114990000001	-0.177832461	0.389928156	00:37.576000	01:12.272000	02:01.072000
"fixed ar cropping to use data from variable t1"	" {"p":6,"x":11.13,"y":-9.80,"z":5.45}"	"  1"	"  5235"	" 712.8265274639945"	" 1"	"  6026"	" 0.1530295875598171, -0.431209351015573"	" 0.785, -0.338609351015573"	" 11.153629587559816, -30.799878593126547"	0.7583221929999999	-3.7089494309999997	3.7857870900000004	00:38.752000	01:04.104000	01:54.168000
"fixed ar cropping to use data from variable t2"	" {"p":5,"x":11.08,"y":-9.80,"z":5.47}"	"  3"	"  12073"	" 716.6898239152159"	" 1"	"  9482"	" 0.1296969657908069, -0.4588199813371445"	" 0.785, -0.3662199813371445"	" 11.130296965790807, -32.37903869759049"	-1.4890556529999999	0.158584578	1.497998637	00:46.448000	01:17.416000	02:05.600000
"fixed ar cropping to use data from variable t3"	" {"p":8,"x":11.28,"y":-9.80,"z":5.20}"	"  2"	"  10498"	" 718.0596053889452"	" 1"	"  6715"	" 0.10711935696376404, -0.4147149885459279"	" 0.785, -0.3221149885459279"	" 11.107719356963763, -29.833761195661904"	-0.94842479	-0.010540743	0.9489332109999999	00:43.720000	01:12.576000	02:02.128000
